id,pair_id,family,representation,evaluation_kind,model,effort,response_id,status,error,input_tokens,output_tokens,total_tokens,duration_s,response_path
translation_to_graph_smiles_016_moljson,translation_to_graph_smiles_016,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0573f57529d18f7f0169faa7e902888195a2ee35bbe1df21fe,ok,,561,1194,1755,17.818,outputs/responses/translation_to_graph_smiles_016_moljson.txt
translation_to_graph_iupac_001_moljson,translation_to_graph_iupac_001,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_087ca87c075772090169faa7f5761c8196959b9f1dc0cf76b9,ok,,559,641,1200,10.063,outputs/responses/translation_to_graph_iupac_001_moljson.txt
translation_to_graph_smiles_020_moljson,translation_to_graph_smiles_020,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_089285bbcb471c650169faa7f4d4288193b9330649f07a4f90,ok,,563,991,1554,11.542,outputs/responses/translation_to_graph_smiles_020_moljson.txt
translation_to_graph_smiles_015_commonchem,translation_to_graph_smiles_015,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_01e4c947df6a50d00169faa7e70e048197add6be5ae884b67e,ok,,297,1905,2202,25.528,outputs/responses/translation_to_graph_smiles_015_commonchem.txt
translation_to_graph_smiles_017_commonchem,translation_to_graph_smiles_017,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0f1338a8c79b3e240169faa7ebef148197915b1b43dadf6c1f,ok,,291,1688,1979,20.859,outputs/responses/translation_to_graph_smiles_017_commonchem.txt
translation_to_graph_smiles_018_commonchem,translation_to_graph_smiles_018,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_02b37c899d367d1c0169faa7f169448196a02c84f2dd54b4c4,ok,,289,1566,1855,16.463,outputs/responses/translation_to_graph_smiles_018_commonchem.txt
translation_to_graph_smiles_019_moljson,translation_to_graph_smiles_019,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_034094ef4b4657c00169faa7f1c0b4819384e0b695d72d78f6,ok,,575,1364,1939,16.035,outputs/responses/translation_to_graph_smiles_019_moljson.txt
translation_to_graph_iupac_001_commonchem,translation_to_graph_iupac_001,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0746bc98fbe247050169faa7f7c01c8197a3af3257a872fa6b,ok,,289,909,1198,13.013,outputs/responses/translation_to_graph_iupac_001_commonchem.txt
translation_to_graph_iupac_003_moljson,translation_to_graph_iupac_003,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_03d41b4e7dada28c0169faa7ff52dc8193851d81026c29345a,ok,,562,696,1258,9.489,outputs/responses/translation_to_graph_iupac_003_moljson.txt
translation_to_graph_smiles_020_commonchem,translation_to_graph_smiles_020,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0c1cb67b8f0294720169faa7f4f0d88194aa6493b70881ec4d,ok,,293,1807,2100,24.729,outputs/responses/translation_to_graph_smiles_020_commonchem.txt
translation_to_graph_iupac_004_commonchem,translation_to_graph_iupac_004,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0d64455fd8b944ca0169faa800cab48193973703f636128c42,ok,,314,1010,1324,12.961,outputs/responses/translation_to_graph_iupac_004_commonchem.txt
translation_to_graph_iupac_003_commonchem,translation_to_graph_iupac_003,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0b1525b7e46ccee10169faa8005ff08196be50ff8c359002dc,ok,,292,1067,1359,15.227,outputs/responses/translation_to_graph_iupac_003_commonchem.txt
translation_to_graph_iupac_004_moljson,translation_to_graph_iupac_004,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0797db564c0171520169faa800925c81908e33a91c86f61765,ok,,584,1077,1661,16.836,outputs/responses/translation_to_graph_iupac_004_moljson.txt
translation_to_graph_iupac_005_moljson,translation_to_graph_iupac_005,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0050b2ad96bc56e00169faa8017a14819497e74d22b73ea135,ok,,567,1376,1943,20.029,outputs/responses/translation_to_graph_iupac_005_moljson.txt
translation_to_graph_iupac_006_moljson,translation_to_graph_iupac_006,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0fe249191b9345a10169faa804b7a08196a6342bfbcd340eae,ok,,560,1328,1888,17.737,outputs/responses/translation_to_graph_iupac_006_moljson.txt
translation_to_graph_iupac_007_moljson,translation_to_graph_iupac_007,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_01cccb24ce4c7e7b0169faa80db1d08195b2e49c0904eb580f,ok,,559,680,1239,9.424,outputs/responses/translation_to_graph_iupac_007_moljson.txt
translation_to_graph_smiles_019_commonchem,translation_to_graph_smiles_019,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0235214539567ac10169faa7f414588195a1eea713c904e13c,ok,,305,2580,2885,37.126,outputs/responses/translation_to_graph_smiles_019_commonchem.txt
translation_to_graph_iupac_007_commonchem,translation_to_graph_iupac_007,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_01b6fb7c9246912f0169faa80dc4e481958a5eb59f3a054e9b,ok,,289,1067,1356,16.487,outputs/responses/translation_to_graph_iupac_007_commonchem.txt
translation_to_graph_iupac_002_moljson,translation_to_graph_iupac_002,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0785c2ddcea67ec30169faa7f8ab508194b3672a944cf82a64,ok,,562,2343,2905,38.936,outputs/responses/translation_to_graph_iupac_002_moljson.txt
translation_to_graph_smiles_016_commonchem,translation_to_graph_smiles_016,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_00afb57e72bf15090169faa7ea535c819592313259366b28e5,ok,,291,3543,3834,53.486,outputs/responses/translation_to_graph_smiles_016_commonchem.txt
translation_to_graph_iupac_009_moljson,translation_to_graph_iupac_009,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_033468a86377a3b50169faa8158aa08195aa42aad191a3ecdc,ok,,558,870,1428,11.229,outputs/responses/translation_to_graph_iupac_009_moljson.txt
translation_to_graph_iupac_002_commonchem,translation_to_graph_iupac_002,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_01b780f7a55a84e70169faa80008e08194918b269a8685b430,ok,,292,2382,2674,40.483,outputs/responses/translation_to_graph_iupac_002_commonchem.txt
translation_to_graph_iupac_006_commonchem,translation_to_graph_iupac_006,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0d7fa69d510d39650169faa808d3308190a9c3ead201a5fdcf,ok,,290,1837,2127,27.452,outputs/responses/translation_to_graph_iupac_006_commonchem.txt
translation_to_graph_iupac_010_moljson,translation_to_graph_iupac_010,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0611e1d54a51c41d0169faa8171b308196ac5b799bd88a0c17,ok,,567,958,1525,13.707,outputs/responses/translation_to_graph_iupac_010_moljson.txt
translation_to_graph_iupac_009_commonchem,translation_to_graph_iupac_009,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_09f8af41aac96cda0169faa81672448196bcc147d1146ff8a8,ok,,288,1304,1592,15.276,outputs/responses/translation_to_graph_iupac_009_commonchem.txt
translation_to_graph_iupac_005_commonchem,translation_to_graph_iupac_005,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0aa1f922714e95ea0169faa801c8bc819797bd8d91389526d8,ok,,297,2414,2711,39.031,outputs/responses/translation_to_graph_iupac_005_commonchem.txt
translation_to_graph_iupac_011_moljson,translation_to_graph_iupac_011,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0cac088b28a31b510169faa81e4314819492f10dc92a7619cf,ok,,561,737,1298,11.823,outputs/responses/translation_to_graph_iupac_011_moljson.txt
translation_to_graph_iupac_010_commonchem,translation_to_graph_iupac_010,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_00777c008ae47ac60169faa81956c081978566af9f231916cf,ok,,297,1403,1700,18.227,outputs/responses/translation_to_graph_iupac_010_commonchem.txt
translation_to_graph_iupac_008_moljson,translation_to_graph_iupac_008,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0155de077633900f0169faa80f99b88190bf102b811c7c7c8e,ok,,562,2134,2696,30.423,outputs/responses/translation_to_graph_iupac_008_moljson.txt
translation_to_graph_iupac_011_commonchem,translation_to_graph_iupac_011,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0fd2069665a4eabf0169faa81faea08190a0bf6c4c7550b649,ok,,291,1169,1460,14.455,outputs/responses/translation_to_graph_iupac_011_commonchem.txt
translation_to_graph_iupac_014_moljson,translation_to_graph_iupac_014,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_03a7744dea3eca8e0169faa824d0c08194a8508e3fbca7f478,ok,,560,1002,1562,12.266,outputs/responses/translation_to_graph_iupac_014_moljson.txt
translation_to_graph_iupac_013_moljson,translation_to_graph_iupac_013,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0e75b3bae885d5970169faa8235030819483cf5de81414b490,ok,,581,960,1541,14.429,outputs/responses/translation_to_graph_iupac_013_moljson.txt
translation_to_graph_iupac_012_moljson,translation_to_graph_iupac_012,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0788959e7328f0ec0169faa81fddf08190b02846557ec1727d,ok,,567,1375,1942,20.681,outputs/responses/translation_to_graph_iupac_012_moljson.txt
translation_to_graph_iupac_015_moljson,translation_to_graph_iupac_015,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_03c09ed9ea9e84b70169faa829489081979221cbbb15163433,ok,,573,877,1450,11.822,outputs/responses/translation_to_graph_iupac_015_moljson.txt
translation_to_graph_iupac_013_commonchem,translation_to_graph_iupac_013,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_059fe6f866967ed60169faa82445348193acf8e8ced64cddfb,ok,,311,1642,1953,22.665,outputs/responses/translation_to_graph_iupac_013_commonchem.txt
translation_to_graph_iupac_014_commonchem,translation_to_graph_iupac_014,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0ec811284e2db8830169faa825cf58819088574ae99604316e,ok,,290,1488,1778,21.542,outputs/responses/translation_to_graph_iupac_014_commonchem.txt
translation_to_graph_iupac_015_commonchem,translation_to_graph_iupac_015,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_055d9fc1975e5af00169faa82a0f248196a32724f9314d634a,ok,,303,1677,1980,21.811,outputs/responses/translation_to_graph_iupac_015_commonchem.txt
translation_to_graph_iupac_012_commonchem,translation_to_graph_iupac_012,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0fa5ff8c9d91a1760169faa820c17881939c631d0de2550bf8,ok,,297,2000,2297,31.35,outputs/responses/translation_to_graph_iupac_012_commonchem.txt
translation_to_graph_iupac_016_moljson,translation_to_graph_iupac_016,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0cbd13f4ba7f52d30169faa82b70f08193a329d9ebc53610e3,ok,,580,1665,2245,22.342,outputs/responses/translation_to_graph_iupac_016_moljson.txt
translation_to_graph_iupac_018_moljson,translation_to_graph_iupac_018,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0818582009f14ad10169faa831bc008197a1046dea94621599,ok,,568,1509,2077,19.492,outputs/responses/translation_to_graph_iupac_018_moljson.txt
translation_to_graph_iupac_017_moljson,translation_to_graph_iupac_017,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_09327d19ef5807810169faa82e0aec8195bfb70f0c67219971,ok,,585,1545,2130,23.907,outputs/responses/translation_to_graph_iupac_017_moljson.txt
translation_graph_to_smiles_001_commonchem,translation_graph_to_smiles_001,translation_graph_to_smiles,commonchem,translation_to_smiles,gpt-5.4,low,resp_0869e48587760c680169faa841e7d081968db6ac50e5fe9a41,ok,,396,272,668,4.38,outputs/responses/translation_graph_to_smiles_001_commonchem.txt
translation_to_graph_iupac_019_moljson,translation_to_graph_iupac_019,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_0ff812e0016f2ae20169faa834ac208194a679e098d973ccb8,ok,,567,1328,1895,17.873,outputs/responses/translation_to_graph_iupac_019_moljson.txt
translation_graph_to_smiles_001_moljson,translation_graph_to_smiles_001,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_0e137e75dd06665d0169faa84015388190940e10f8068c9016,ok,,468,544,1012,11.433,outputs/responses/translation_graph_to_smiles_001_moljson.txt
translation_graph_to_smiles_002_moljson,translation_graph_to_smiles_002,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_0758e23fbd4c46a80169faa84547ac8196a06eedf672be7719,ok,,503,408,911,6.741,outputs/responses/translation_graph_to_smiles_002_moljson.txt
translation_to_graph_iupac_018_commonchem,translation_to_graph_iupac_018,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0351cf9b6bcd6e8c0169faa8349c88819085ed894368ec8239,ok,,298,1998,2296,25.77,outputs/responses/translation_to_graph_iupac_018_commonchem.txt
translation_to_graph_iupac_017_commonchem,translation_to_graph_iupac_017,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_03db927be76b6e520169faa83113cc8190b332f0df5c720454,ok,,315,2322,2637,30.599,outputs/responses/translation_to_graph_iupac_017_commonchem.txt
translation_graph_to_smiles_002_commonchem,translation_graph_to_smiles_002,translation_graph_to_smiles,commonchem,translation_to_smiles,gpt-5.4,low,resp_0c7f79fc9e2c4f8a0169faa84619c88195a9f24f7b52fc0594,ok,,410,767,1177,13.167,outputs/responses/translation_graph_to_smiles_002_commonchem.txt
translation_graph_to_smiles_003_moljson,translation_graph_to_smiles_003,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_09498c0dac5f1ac00169faa8462b788193be20ecbde82fd926,ok,,490,756,1246,13.968,outputs/responses/translation_graph_to_smiles_003_moljson.txt
translation_graph_to_smiles_004_moljson,translation_graph_to_smiles_004,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_0b5e994650e6b86a0169faa84b8a2c8193bd01a70682c54ebf,ok,,420,544,964,9.176,outputs/responses/translation_graph_to_smiles_004_moljson.txt
translation_to_graph_iupac_016_commonchem,translation_to_graph_iupac_016,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_02b1a436946fad690169faa82e03308194bddf9c725b56bfcc,ok,,310,3000,3310,39.474,outputs/responses/translation_to_graph_iupac_016_commonchem.txt
translation_to_graph_iupac_020_moljson,translation_to_graph_iupac_020,translation_to_graph,moljson,translation_to_graph,gpt-5.4,low,resp_057bd550de474c910169faa83b54b08195b79e6002eac1e72b,ok,,581,1845,2426,26.364,outputs/responses/translation_to_graph_iupac_020_moljson.txt
translation_graph_to_smiles_004_commonchem,translation_graph_to_smiles_004,translation_graph_to_smiles,commonchem,translation_to_smiles,gpt-5.4,low,resp_056077457ee8d19a0169faa84bfef48196b36f2b21e2697a87,ok,,313,469,782,9.748,outputs/responses/translation_graph_to_smiles_004_commonchem.txt
translation_to_graph_iupac_008_commonchem,translation_to_graph_iupac_008,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_0056c0fb700878ed0169faa81162ec819484e21fc79c9c94a7,ok,,292,4044,4336,69.587,outputs/responses/translation_to_graph_iupac_008_commonchem.txt
translation_to_graph_iupac_019_commonchem,translation_to_graph_iupac_019,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_02f7d39ae94f71460169faa83af2c88190965ffcc16cb9ff51,ok,,297,2196,2493,29.487,outputs/responses/translation_to_graph_iupac_019_commonchem.txt
translation_graph_to_smiles_003_commonchem,translation_graph_to_smiles_003,translation_graph_to_smiles,commonchem,translation_to_smiles,gpt-5.4,low,resp_0fa7db96c2ef7a760169faa84684408193b9ff9f049fcea188,ok,,397,1032,1429,19.672,outputs/responses/translation_graph_to_smiles_003_commonchem.txt
translation_graph_to_smiles_010_moljson,translation_graph_to_smiles_010,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_02a0ab28c07e934e0169faa85a2ef88195877b93b20f2333f8,ok,,573,240,813,4.399,outputs/responses/translation_graph_to_smiles_010_moljson.txt
translation_graph_to_smiles_006_moljson,translation_graph_to_smiles_006,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_04f97120c91adcb40169faa85321a88196bb370cb3fb9391a4,ok,,442,787,1229,13.317,outputs/responses/translation_graph_to_smiles_006_moljson.txt
translation_graph_to_smiles_006_commonchem,translation_graph_to_smiles_006,translation_graph_to_smiles,commonchem,translation_to_smiles,gpt-5.4,low,resp_02e9f039f3a828170169faa8541b988196b936ede41a7e5698,ok,,356,742,1098,13.007,outputs/responses/translation_graph_to_smiles_006_commonchem.txt
translation_graph_to_smiles_005_commonchem,translation_graph_to_smiles_005,translation_graph_to_smiles,commonchem,translation_to_smiles,gpt-5.4,low,resp_022215f6a5a9a53b0169faa84fac988196932f17ffd3a534ea,ok,,419,1027,1446,20.028,outputs/responses/translation_graph_to_smiles_005_commonchem.txt
translation_graph_to_smiles_010_commonchem,translation_graph_to_smiles_010,translation_graph_to_smiles,commonchem,translation_to_smiles,gpt-5.4,low,resp_0a2d181dec6548b40169faa85eacf08194a3402ae5f976c848,ok,,459,276,735,5.296,outputs/responses/translation_graph_to_smiles_010_commonchem.txt
translation_graph_to_smiles_009_moljson,translation_graph_to_smiles_009,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_041fd23a2706c9c60169faa856fc788194b731d600c71c7c3f,ok,,573,702,1275,14.416,outputs/responses/translation_graph_to_smiles_009_moljson.txt
translation_graph_to_smiles_008_moljson,translation_graph_to_smiles_008,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_006e5a006f1f77630169faa855a5f481938ee34cc430328175,ok,,512,1070,1582,18.963,outputs/responses/translation_graph_to_smiles_008_moljson.txt
translation_graph_to_smiles_009_commonchem,translation_graph_to_smiles_009,translation_graph_to_smiles,commonchem,translation_to_smiles,gpt-5.4,low,resp_0cc74b776184fbbf0169faa8586f108190b5a5b5df81a17645,ok,,438,730,1168,16.189,outputs/responses/translation_graph_to_smiles_009_commonchem.txt
translation_to_graph_iupac_020_commonchem,translation_to_graph_iupac_020,translation_to_graph,commonchem,translation_to_graph,gpt-5.4,low,resp_030fcef22a6e34300169faa83ffddc8196a036a29a22eb0977,ok,,311,2471,2782,41.153,outputs/responses/translation_to_graph_iupac_020_commonchem.txt
translation_graph_to_smiles_005_moljson,translation_graph_to_smiles_005,translation_graph_to_smiles,moljson,translation_to_smiles,gpt-5.4,low,resp_08ca7a73884dd6c40169faa84e45e48193b4d2f09239769b85,ok,,547,1518,2065,30.064,outputs/responses/translation_graph_to_smiles_005_moljson.txt
